CODIGOENTIDAD,RUC_ENTIDAD,ENTIDAD,ENTIDAD_DEPARTAMENTO,ENTIDAD_PROVINCIA,ENTIDAD_DISTRITO,FECHACONVOCATORIA,OBJETOCONTRACTUAL,PROCESO,CODIGOCONVOCATORIA,DESCRIPCION_PROCESO,NUMERO_ITEM,ITEMCONVOCA_DESCRIPCION,ITEMCONVOCA_UNIDADMEDIDA,SECTOR,TIPOENTIDADOEE,TIPOPROCESO,ITEM_DEPARTAMENTO,ITEM_PROVINCIA,ITEM_DISTRITO,ESTADOITEMCONVOCA,ULTIMO,MONEDA,CAUSAL_EXOR_CONT_DIRECTA,MONTOREFERENCIAL,MONTOREFERENCIALSOLES,MONTOADJUDICADO,MONTOADJUDICADOSOLES,TIPOPROVEEDOR,RUCPROVEEDOR,PROVEEDOR,RUCDETALLEPROVEEDOR,DETALLEPROVEEDOR,URLFICHAPROCESO,RUBROS
10154,20370114952,POLICAA NACIONAL DEL PERA - XI DIRECCIAN TERRITORIAL AREQUIPA,AREQUIPA,AREQUIPA,YANAHUARA,23/03/20,Bien,DIRECTA-PROC-2-2020-UE-022-XI-DIRTE-1,607678,"AdquisiciA3n de diferentes bienes materiales de aseo (alcohol gel antisA(c)ptico de mano y jabA3n lAquido) y protecciA3n personal (mascarillas y guantes quirAorgicos de lA!tex) para las diferentes unidades y sub unidades de la PNP de las Regiones Policiales de Arequipa, Moquegua y Tacna, a consecuencia del brote COVID-19, en atenciA3n al D. S. 044-2020-PCM",3,Jabon liquido,Unidad,INTERIOR,GOBIERNO NACIONAL,ContrataciA3n Directa,AREQUIPA,AREQUIPA,YANAHUARA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,65059.74,65059.74,65059.74,65059.74,Persona Natural,10708299532,CORNEJO PORTUGAL SUE LEONOR,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607678,PROD. ASEO Y LIMPIEZA
10143,20165465009,POLICIA NACIONAL DEL PERA - DIRECCIAN DE ECONOMAA Y FINANZAS,LIMA,LIMA,RIMAC,26/03/20,Bien,DIRECTA-PROC-3-2020-DIRECFIN-PNP-1,607688,"ADQUISICIAN DE IMPLEMENTOS DE PREVENCIAN PARA EL PERSONAL PNP, QUE PRESTA SERVICIOS EN LAS DIFERENTES UNIDADES DE LA UNIDAD EJECUTORA 002 DIRECFIN PNP",1,"ITEM 1 - IMPLEMENTOS DE PREVENCIA?N PARA LAS DIFERENTES UNIDADES PERTENECIENTES A LA UE NA?002-DIRECFIN-PNP: COMGEN, SUBCOMGEN, SECGEN, EMG, OCI, SECEJE, UNITRADOC, DIREASJUR, DIRPLAINS, DIRADM, DIVLOG, DIVECO Y DIVINFRA.",Unidad,INTERIOR,GOBIERNO NACIONAL,ContrataciA3n Directa,LIMA,LIMA,RIMAC,Contratado,ULTIMO,Soles,SituaciA3n emergencia,1553000.0,1553000.0,1553000.0,1553000.0,Persona Natural,10458832400,BUITRON GUEVARA JENNIFER JANET,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607688,PROD. ASEO Y LIMPIEZA
10143,20165465009,POLICIA NACIONAL DEL PERA - DIRECCIAN DE ECONOMAA Y FINANZAS,LIMA,LIMA,RIMAC,26/03/20,Bien,DIRECTA-PROC-3-2020-DIRECFIN-PNP-1,607688,"ADQUISICIAN DE IMPLEMENTOS DE PREVENCIAN PARA EL PERSONAL PNP, QUE PRESTA SERVICIOS EN LAS DIFERENTES UNIDADES DE LA UNIDAD EJECUTORA 002 DIRECFIN PNP",2,"ITEM 2 - IMPLEMENTOS DE PREVENCIA?N PARA LAS DIFERENTES UNIDADES PERTENECIENTES A LA UE NA?002-DIRECFIN-PNP: DIRNOS, DIRSEEST, DIRSCPC, DIVPNA, DIVCVF.",Unidad,INTERIOR,GOBIERNO NACIONAL,ContrataciA3n Directa,LIMA,LIMA,RIMAC,Contratado,ULTIMO,Soles,SituaciA3n emergencia,619990.0,619990.0,619990.0,619990.0,Persona Juridica,20604291756,D&#39;JAVA NEGOCIOS E.I.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607688,PROD. ASEO Y LIMPIEZA
10143,20165465009,POLICIA NACIONAL DEL PERA - DIRECCIAN DE ECONOMAA Y FINANZAS,LIMA,LIMA,RIMAC,26/03/20,Bien,DIRECTA-PROC-3-2020-DIRECFIN-PNP-1,607688,"ADQUISICIAN DE IMPLEMENTOS DE PREVENCIAN PARA EL PERSONAL PNP, QUE PRESTA SERVICIOS EN LAS DIFERENTES UNIDADES DE LA UNIDAD EJECUTORA 002 DIRECFIN PNP",3,"ITEM 3 - IMPLEMENTOS DE PREVENCIA?N PARA LAS DIFERENTES UNIDADES PERTENECIENTES A LA UE NA?002-DIRECFIN-PNP: IG, DIRREHUM, DIRBAP, DIVPEN, DIRIN, DIRTTSV,DIVPRCAR, DIVSEFER.",Unidad,INTERIOR,GOBIERNO NACIONAL,ContrataciA3n Directa,LIMA,LIMA,RIMAC,Contratado,ULTIMO,Soles,SituaciA3n emergencia,2758200.0,2758200.0,2749200.0,2749200.0,Persona Juridica,20548606331,NIEVA TRADING S.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607688,PROD. ASEO Y LIMPIEZA
10247,20131369124,EJERCITO PERUANO,LIMA,LIMA,SAN BORJA,3/4/20,Bien,DIRECTA-PROC-1-2020-EP/UO 0804-1,607716,ADQUISICION DE ALIMENTOS PARA PERSONAS POR DECLARATORIA DE EMERGENCIA SANITARIA,1,Alimentos derivados de la situaciA?n de emergencia por graves circunstancias que afectan la vida de la NaciA?n a consecuencia del brote del COVID-19,Unidad,DEFENSA,GOBIERNO NACIONAL,ContrataciA3n Directa,TUMBES,TUMBES,TUMBES,Adjudicado,ULTIMO,Soles,SituaciA3n emergencia,293400.0,293400.0,293400.0,293400.0,Persona Juridica,20481368341,DISTRIBUIDORA FINA SRL,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607716,OTROS ALIMENTOS
200135,20452578949,GOBIERNO REGIONAL DE ICA - U.E. 404 HOSPITAL SAN JUAN DE DIOS PISCO,ICA,PISCO,PISCO,2/4/20,Servicio,DIRECTA-PROC-1-2020-HSJDP-1,607720,SERVICIO DE VIGILANCIA Y SEGURIDAD DE LA U.E.404 DEL HOSPITAL SAN JUAN DE DIOS DE PISCO POR 60 DIAS CALENDARIOS,1,SERVICIO DE VIGILANCIA Y SEGURIDAD,Servicio,GOBIERNO REGIONAL,GOBIERNO REGIONAL,ContrataciA3n Directa,ICA,PISCO,PISCO,Contratado,ULTIMO,Soles,SituaciA3n emergencia,188983.7,188983.7,188983.7,188983.7,Persona Juridica,20494230985,GRUPO ELITE DEL NORTE S.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607720,OTROS SERVICIOS
200722,20556048861,POLICAA NACIONAL DEL PERA - DIRECCIAN EJECUTIVA ANTIDROGAS,LIMA,LIMA,LA VICTORIA,27/03/20,Bien,DIRECTA-PROC-6-2020-DIREJANDRO PNP-1,607724,"ADQUISICION DE INSUMOS (JABON LIQUIDO GERMICIDA), PARA EL PERSONAL DIRANDRO PNP.",1,"AdquisiciA?n de insumos (JabA?n germicida liquido x 400 ml), para el personal DIRANDRO PNP a nivel nacional.",Unidad,INTERIOR,GOBIERNO NACIONAL,ContrataciA3n Directa,LIMA,LIMA,LA VICTORIA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,77575.0,77575.0,77575.0,77575.0,Persona Juridica,20602663362,BOZOVICH Y ASOCIADOS SAFETY S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607724,PROD. ASEO Y LIMPIEZA
10247,20131369124,EJERCITO PERUANO,LIMA,LIMA,SAN BORJA,3/4/20,Bien,DIRECTA-PROC-1-2020-EP/UO 0809-1,607732,ADQUISICION DE ALIMENTOS PARA PERSONAS POR DECLARATORIA DE EMERGENCIA SANITARIA,1,ALIMENTOS PARA EL PERSONAL MILITAR QUE CONFORMA LAS PATRULLAS POR LA EMERGENCIA NACIONAL Y AISLAMIENTO OBLIGATORIO POR EL COVID 19.,Unidad,DEFENSA,GOBIERNO NACIONAL,ContrataciA3n Directa,TUMBES,TUMBES,TUMBES,Contratado,ULTIMO,Soles,SituaciA3n emergencia,110400.0,110400.0,110400.0,110400.0,Persona Juridica,20481368341,DISTRIBUIDORA FINA SRL,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607732,OTROS ALIMENTOS
200722,20556048861,POLICAA NACIONAL DEL PERA - DIRECCIAN EJECUTIVA ANTIDROGAS,LIMA,LIMA,LA VICTORIA,27/03/20,Bien,DIRECTA-PROC-4-2020-DIREJANDRO-PNP-1,607740,AdquisiciA3n de mascarillas protectoras y guantes descartables para el personal DIRANDRO PNP a nivel nacional,1,AdquisiciA?n de mascarillas protectoras y guantes descartables para el personal DIRANDRO PNP a nivel nacional,Unidad,INTERIOR,GOBIERNO NACIONAL,ContrataciA3n Directa,LIMA,LIMA,LA VICTORIA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,147888.0,147888.0,147888.0,147888.0,Persona Juridica,20502538722,IMPLEMENTOS Y REACTIVOS E.I.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607740,MATERIAL Y EQUIPO MEDICO
10595,20154547259,GOBIERNO REGIONAL DE SAN MARTIN-SALUD,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,1/4/20,Bien,DIRECTA-PROC-4-2020-OGESS-BM/OEC-1,607748,"ADQUISCIAN DE COMBUSTIBLE (GASOLINA 90 OCTANOS Y PETROLEO DIESEL B5) PARA FORTALECER EL CONTROL DE VECTORES DEL DENGUE DE LOS DISTRITOS DE TARAPOTO, MORALES Y LA BANDA DE SHILCAYO, JURISDICCIAN DE LA RED DE SALUD SAN MARTAN, REGIAN SAN MARTAN - DS NAdeg 004-2020-SAA? ITEM I y II.",1,"ADQUISICIA?N DE COMBUSTIBLE GASOLINA 90 OCTANOS, RED DE SALUD SAN MARTIN, REGION SAN MARTIN",Galon,GOBIERNO REGIONAL,GOBIERNO REGIONAL,ContrataciA3n Directa,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,38750.0,38750.0,38750.0,38750.0,Persona Juridica,20221965290,DISTRIBUIDORA GABY E I R LTDA,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607748,OTROS BIENES
10595,20154547259,GOBIERNO REGIONAL DE SAN MARTIN-SALUD,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,1/4/20,Bien,DIRECTA-PROC-4-2020-OGESS-BM/OEC-1,607748,"ADQUISCIAN DE COMBUSTIBLE (GASOLINA 90 OCTANOS Y PETROLEO DIESEL B5) PARA FORTALECER EL CONTROL DE VECTORES DEL DENGUE DE LOS DISTRITOS DE TARAPOTO, MORALES Y LA BANDA DE SHILCAYO, JURISDICCIAN DE LA RED DE SALUD SAN MARTAN, REGIAN SAN MARTAN - DS NAdeg 004-2020-SAA? ITEM I y II.",2,"ADQUISICIA?N DE COMBUSTIBLE DIESEL B5, RED DE SALUD SAN MARTIN, REGION SAN MARTIN",Galon,GOBIERNO REGIONAL,GOBIERNO REGIONAL,ContrataciA3n Directa,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,60325.0,60325.0,60325.0,60325.0,Persona Juridica,20221965290,DISTRIBUIDORA GABY E I R LTDA,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607748,OTROS BIENES
10247,20131369124,EJERCITO PERUANO,LIMA,LIMA,SAN BORJA,3/4/20,Bien,DIRECTA-PROC-1-2020-EP/UO 0838-1,607752,ADQUISICION DE ALIMENTOS Y BEBIDAS PARA EL CONSUMO HUMANO POR EMERGENCIA DEL COVID - 19 PARA EL COAR,1,ITEM PAQUETE,Unidad,DEFENSA,GOBIERNO NACIONAL,ContrataciA3n Directa,UCAYALI,CORONEL PORTILLO,CALLERIA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,140700.0,140700.0,140700.0,140700.0,Persona Juridica,20605724125,MULTISERVICIOS JANIS E.I.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=607752,OTROS ALIMENTOS
