AnioEje,Region,TipoGobiernoAbv,TipoGobierno,SectorCod,Sector,PliegoCod,Pliego,SecuenciaEjecutoraCod,EjecutoraCod,Ejecutora,AlmacenCod,SecuenciaAlmacenCod,Almacen,TipoTransaccionCod,TipoTransaccion,MovimientoID,OrdenCompraID,ProveedorCodigo,Proveedor,ObservacionDonacion,MovimientoFecha,MovimientoMesCod,MovimientoMes,TipoUsoCodigo,GuiaRemisionCodigo,FacturaNumero,EstadoKardex,FechaRegistro,ConformidadIngresoDocumento,ConformidadIngresoFecha,IngresoGlosa,BienTipoCod,BienGrupoCod,BienGrupo,BienClaseCod,BienClase,BienFamiliaCod,BienFamilia,BienItemCod,BienItem,BienUnidaMedidaCod,BienUnidadMedida,BienMarcaCod,BienMarca,BienCantidad,BienPrecioUnitario,BienValorTotal
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,5,0,0,VALLERY ALEXIS REATEGUI VASQUEZ,DONACION EN FAVOR DE LA DIRECCION GENERAL,2020-04-29,4,ABRIL,C,5,RA 106-2020-GRA,CON CONFORMIDAD,2020-05-08,R.A Ndeg106-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-05-08,DONACION EN FAVOR DE LA DIRECCION GENERAL,B,74,OFICINA,22,EQUIPO DE OFICINA ,2358,EQUIPO MULTIFUNCIONAL COPIADORA IMPRESORA SCANNER Y/O FAX ,8,EQUIPO MULTIFUNCIONAL COPIADORA IMPRESORA SCANNER,112,UNIDAD,53,CANON,1.0,549.0,549.0
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,6,0,0,UNIVERSIDAD CONTINENTAL SOCIEDAD ANONIMA CERRADA,DONACION EN FAVOR DE SERVICIO DE PSICOLOGIA,2020-04-29,4,ABRIL,C,6,RA 107-2020-GRA,CON CONFORMIDAD,2020-05-08,R.A. 107-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-05-08,DONACION DE LA UNIVERSIDAD CONTINENTAL,B,74,OFICINA,64,MOBILIARIO DE OFICINA ,355,ARCHIVADOR DE MELAMINA,18,ARCHIVADOR DE MELAMINA,112,UNIDAD,1190,SIN  MARCA,1.0,1101.69,1101.69
2020,AREQUIPA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,766,401,REGION AREQUIPA-HOSPITAL GOYENECHE,1,7,ALMACEN BIENES DE CAPITAL,4,NEA - DONACION,6,0,0,UNIVERSIDAD CONTINENTAL SOCIEDAD ANONIMA CERRADA,DONACION EN FAVOR DE SERVICIO DE PSICOLOGIA,2020-04-29,4,ABRIL,C,6,RA 107-2020-GRA,CON CONFORMIDAD,2020-05-08,R.A. 107-2020-GRA/GRS/GR-HG/OLOG-OEA,2020-05-08,DONACION DE LA UNIVERSIDAD CONTINENTAL,B,74,OFICINA,64,MOBILIARIO DE OFICINA ,2864,CASILLERO DE MELAMINA,1,CASILLERO DE MELAMINA,112,UNIDAD,1190,SIN  MARCA,1.0,1271.19,1271.19
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,3,0,0,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN DE TACNA,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA,2020-03-04,3,MARZO,C,NEA Ndeg003,Ndeg0390-2020,CON CONFORMIDAD,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/G.R.T,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA.-OFICIO Ndeg018-2020-ESOD-FACS,B,49,"ACCES., REPUEST. DE EQ. MEDICOS Y QUIRURG. Y SUMINIST. MEDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MEDICO,41,MASCARILLAS  DESCARTABLES,108,MASCARILLA DESCARTABLE BUCONASAL,112,UNIDAD,809,GAMED,300.0,0.16,48.0
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,3,0,0,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN DE TACNA,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA,2020-03-04,3,MARZO,C,NEA Ndeg003,Ndeg0390-2020,CON CONFORMIDAD,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/G.R.T,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA.-OFICIO Ndeg018-2020-ESOD-FACS,B,49,"ACCES., REPUEST. DE EQ. MEDICOS Y QUIRURG. Y SUMINIST. MEDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MEDICO,41,MASCARILLAS  DESCARTABLES,158,MASCARILLA DESCARTABLE TIPO N-95,112,UNIDAD,2598,GOLDEN MEDIC,40.0,4.0,160.0
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,3,0,0,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN DE TACNA,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA,2020-03-04,3,MARZO,C,NEA Ndeg003,Ndeg0390-2020,CON CONFORMIDAD,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/G.R.T,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA.-OFICIO Ndeg018-2020-ESOD-FACS,B,49,"ACCES., REPUEST. DE EQ. MEDICOS Y QUIRURG. Y SUMINIST. MEDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACION",1,ROPA QUIRURGICA PARA PERSONAL MEDICO Y PACIENTE,1438,MANDIL DESCARTABLE NO ESTERIL ,112,UNIDAD,328,SIN MARCA,22.0,2.18,47.96
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,3,0,0,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN DE TACNA,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA,2020-03-04,3,MARZO,C,NEA Ndeg003,Ndeg0390-2020,CON CONFORMIDAD,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/G.R.T,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA.-OFICIO Ndeg018-2020-ESOD-FACS,B,49,"ACCES., REPUEST. DE EQ. MEDICOS Y QUIRURG. Y SUMINIST. MEDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MEDICO,28,GUANTES PARA EXAMEN DESCARTABLES (NO QUIRURGICOS),112,GUANTE PARA EXAMEN DESCARTABLE No 7 X 100 UNI,112,UNIDAD,328,SIN MARCA,10.0,10.98,109.8
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,3,0,0,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN DE TACNA,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA,2020-03-04,3,MARZO,C,NEA Ndeg003,Ndeg0390-2020,CON CONFORMIDAD,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/G.R.T,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA.-OFICIO Ndeg018-2020-ESOD-FACS,B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, UTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGIA: MATERIALES,10,JABONES PARA MANOS Y CUERPO,26,JABON GERMICIDA LIQUIDO,349,LITRO,328,SIN MARCA,4.0,53.5,214.0
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,3,0,0,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN DE TACNA,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA,2020-03-04,3,MARZO,C,NEA Ndeg003,Ndeg0390-2020,CON CONFORMIDAD,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/G.R.T,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA.-OFICIO Ndeg018-2020-ESOD-FACS,B,13,"ASEO, LIMPIEZA Y TOCADOR  :   REPUESTOS, ACCESORIOS, UTILES Y MATERIALES",92,TOCADOR Y COSMETOLOGIA: MATERIALES,16,PAPELES TOALLA,327,PAPEL TOALLA HOJA SIMPLE INTERFOLIADO BLANCO X 200 HOJAS,112,UNIDAD,2643,KLEENEX,5.0,9.7,48.5
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,3,0,0,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN DE TACNA,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA,2020-03-04,3,MARZO,C,NEA Ndeg003,Ndeg0390-2020,CON CONFORMIDAD,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/G.R.T,2020-03-04,MEMORANDO Ndeg0390-2020-DIREC.EJEC.-HHUT-DRS.T/GOB.REG.TACNA.-OFICIO Ndeg018-2020-ESOD-FACS,B,49,"ACCES., REPUEST. DE EQ. MEDICOS Y QUIRURG. Y SUMINIST. MEDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACION",1,ROPA QUIRURGICA PARA PERSONAL MEDICO Y PACIENTE,36,GORRO DESCARTABLE,112,UNIDAD,328,SIN MARCA,300.0,0.8299,248.97
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,4,0,0,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN DE TACNA,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.REG.TACNA,2020-03-13,3,MARZO,C,NEA Ndeg004,Ndeg527-2020,CON CONFORMIDAD,2020-03-13,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.RE,2020-03-13,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.REG.TACNA.-OFICIO Ndeg039-2020-SEP.-OBST-FACS-/UNJBG,B,49,"ACCES., REPUEST. DE EQ. MEDICOS Y QUIRURG. Y SUMINIST. MEDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACION",1,ROPA QUIRURGICA PARA PERSONAL MEDICO Y PACIENTE,36,GORRO DESCARTABLE,112,UNIDAD,1763,ALFIMEDIX,120.0,0.829917,99.59
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,4,0,0,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN DE TACNA,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.REG.TACNA,2020-03-13,3,MARZO,C,NEA Ndeg004,Ndeg527-2020,CON CONFORMIDAD,2020-03-13,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.RE,2020-03-13,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.REG.TACNA.-OFICIO Ndeg039-2020-SEP.-OBST-FACS-/UNJBG,B,49,"ACCES., REPUEST. DE EQ. MEDICOS Y QUIRURG. Y SUMINIST. MEDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MEDICO,41,MASCARILLAS  DESCARTABLES,158,MASCARILLA DESCARTABLE TIPO N-95,112,UNIDAD,2,3M,48.0,4.0,192.0
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,4,0,0,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN DE TACNA,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.REG.TACNA,2020-03-13,3,MARZO,C,NEA Ndeg004,Ndeg527-2020,CON CONFORMIDAD,2020-03-13,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.RE,2020-03-13,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.REG.TACNA.-OFICIO Ndeg039-2020-SEP.-OBST-FACS-/UNJBG,B,49,"ACCES., REPUEST. DE EQ. MEDICOS Y QUIRURG. Y SUMINIST. MEDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",55,"VESTUARIO, COBERTORES, MATERIAL DESCARTABLE PARA INTERNAMIENTO Y HOSPITALIZACION",1,ROPA QUIRURGICA PARA PERSONAL MEDICO Y PACIENTE,720,MANDILON DESCARTABLE TALLA M,112,UNIDAD,1169,ENDOMEDIC,120.0,5.66,679.2
2020,TACNA,R,GOBIERNO REGIONAL,99,GOBIERNOS REGIONALES,460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,970,401,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,3,0,ALMACEN DONACIONES,4,NEA - DONACION,4,0,0,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN DE TACNA,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.REG.TACNA,2020-03-13,3,MARZO,C,NEA Ndeg004,Ndeg527-2020,CON CONFORMIDAD,2020-03-13,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.RE,2020-03-13,MEMORANDO Ndeg527-2020-DIREC.EJEC.-HHUT.DRS.T/GOB.REG.TACNA.-OFICIO Ndeg039-2020-SEP.-OBST-FACS-/UNJBG,B,49,"ACCES., REPUEST. DE EQ. MEDICOS Y QUIRURG. Y SUMINIST. MEDIC.(INC. MATER. MED. INSTR. Y ROPA DESC.)",57,MATERIAL MEDICO,28,GUANTES PARA EXAMEN DESCARTABLES (NO QUIRURGICOS),112,GUANTE PARA EXAMEN DESCARTABLE No 7 X 100 UNI,112,UNIDAD,328,SIN MARCA,24.0,10.98,263.52
